Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,key_resp_3.rt,key_resp_5.rt,key_resp_4.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.16396608,0.0,Stimuli/H-8sim0.png,Stimuli/H-8sim3.png,None,None,None,j,1,0.3954049509484321,None,170.54332166409586,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.16396608,1.0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,space,None,space,j,0,0.10372821090277284,None,171.65758935606573,None,0.06121745798736811,0.050711406976915896,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,0.0,Stimuli/H-8sim3.png,Stimuli/H-8sim0.png,space,space,None,j,1,0.23441250203177333,None,172.49095695500728,None,0.01845690398477018,,0.22727151203434914,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,1.0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,None,None,None,j,0,0.12228801299352199,None,173.44337644905318,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,0.0,Stimuli/H-8sim1.png,Stimuli/H-8sim2.png,None,None,None,j,1,0.18069314502645284,None,174.29093403101433,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,0.0,Stimuli/H-8sim2.png,Stimuli/H-8sim1.png,None,None,None,j,1,0.18565994990058243,None,175.1929368680576,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,1.0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,None,None,None,j,0,1.4928439609939232,None,176.11006800609175,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.16396608,0.0,Stimuli/H-8sim2.png,Stimuli/H-8sim1.png,None,None,None,j,1,0.03116066101938486,None,178.34098198008724,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,1.0,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,None,None,None,j,0,0.5151706279721111,None,179.09349790599663,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
conf_haus,Designs/instructions_haus_1234.png,,,,,0,0,0,0,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16396608,1.0,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,None,None,None,j,0,0.030180936097167432,None,180.34098931308836,None,,,,,3,2,2020_Nov_05_2129,configural_featural,2020.2.4,None,[3584 2240],
