Block_type,instruction_text,repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,ITI_fix_cross.started,ITI_fix_cross.stopped,fix_resp.keys,fix_resp.corr,fix_resp.started,fix_resp.stopped,fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0.0,Stimuli/edmd.png,Stimuli/eomu.png,conf_face,j,1,0.2637910959892906,308.98102467300487,None,space,1,308.98102467300487,None,0.7162363289971836,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0.0,Stimuli/eumu.png,Stimuli/eomu.png,conf_face,j,1,0.27340808999724686,311.43122968600073,None,space,1,311.43122968600073,None,0.4911708970030304,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,conf_face,f,1,0.486086835997412,314.0311317010055,None,None,1,314.0311317010055,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eimd.png,Stimuli/eomu.png,conf_face,j,1,0.482588882005075,316.86445653899864,None,None,1,316.86445653899864,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,f,1,0.21797944900754374,319.51452369500475,None,None,1,319.51452369500475,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,conf_face,f,1,0.2887849099934101,322.18115675999434,None,None,1,322.18115675999434,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0.0,Stimuli/eomu.png,Stimuli/eumu.png,conf_face,f,0,0.3349262410047231,324.9145331239997,None,space,1,324.9145331239997,None,0.7355904489959357,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,f,1,0.26547825400484726,327.4812270889961,None,None,1,327.4812270889961,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,conf_face,f,1,0.2596174520003842,329.9478250980028,None,None,1,329.9478250980028,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/edmd.png,Stimuli/eumu.png,conf_face,j,1,0.3488214390090434,332.56466208600614,None,None,1,332.56466208600614,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0.0,Stimuli/eumu.png,Stimuli/eimd.png,conf_face,j,1,0.44563655700767413,335.4645587300038,None,space,1,335.4645587300038,None,0.45505634500295855,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,f,1,0.2619216909952229,337.9478779100027,None,None,1,337.9478779100027,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,,,,,0,0,0,0,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0.0,Stimuli/eimd.png,Stimuli/eumu.png,conf_face,f,0,0.19405126699712127,340.6145134450053,None,None,1,340.6145134450053,None,,,1,2,2021_Jan_11_1608,configural_featural,2020.2.4,None,[3584 2240],
