Block_type,instruction_text,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,text_top.started,text_top.stopped,text_bottom.started,text_bottom.stopped,ccimage.started,ccimage.stopped,target_image.started,target_image.stopped,text.started,text.stopped,probe_image.started,probe_image.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,design,date,expName,psychopyVersion,frameRate,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,3,0,3,0,,,,,,,,,36.60222081496613,None,36.80231304396875,None,37.00199912698008,None,37.20255001698388,None,space,0.1454291149857454,37.20255001698388,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,4,0,4,0,,,,,,,,,37.368834282970056,None,37.56913486798294,None,37.7691374529968,None,37.96887413796503,None,space,0.07856718497350812,37.96887413796503,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,5,0,5,0,,,,,,,,,38.06863723695278,None,38.26911823300179,None,38.46912261797115,None,38.668751442979556,None,space,0.45624860003590584,38.668751442979556,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,6,0,6,0,,,,,,,,,39.15228878200287,None,39.35260176495649,None,39.552494123985525,None,39.75229695998132,None,space,0.5334094119607471,39.75229695998132,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,7,0,7,0,,,,,,,,,40.3025250720093,None,40.50228946196148,None,40.702530981972814,None,40.902563484967686,None,space,0.06771921901963651,40.902563484967686,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,8,0,8,0,,,,,,,,,41.00258779997239,None,41.20252034597797,None,41.40253236400895,None,41.60256519797258,None,space,0.5623715309775434,41.60256519797258,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,9,0,9,0,,,,,,,,,42.18577658897266,None,42.385897195956204,None,42.585910050955135,None,42.78579468897078,None,space,0.07049285597167909,42.78579468897078,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,10,0,10,0,,,,,,,,,42.88587781996466,None,43.085793525970075,None,43.28584027197212,None,43.48583552899072,None,space,0.10795577202225104,43.48583552899072,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,11,0,11,0,,,,,,,,,43.61913108697627,None,43.81894856999861,None,44.01920690300176,None,44.219204296008684,None,space,0.6620968100032769,44.219204296008684,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,12,0,12,0,,,,,,,,,44.90250811300939,None,45.102554904995486,None,45.30248355399817,None,45.50254411797505,None,space,0.4586559970048256,45.50254411797505,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,13,0,13,0,,,,,,,,,45.98592039500363,None,46.18583752599079,None,46.385828449972905,None,46.58595175400842,None,space,0.25951166602317244,46.58595175400842,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,14,0,14,0,,,,,,,,,46.869279266975354,None,47.06926364498213,None,47.269213794963434,None,47.46893740800442,None,space,0.09609898598864675,47.46893740800442,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,15,0,15,0,,,,,,,,,47.585779101995286,None,47.78588793100789,None,47.985815580992494,None,48.185844583960716,None,space,0.5001185970031656,48.185844583960716,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,16,0,16,0,,,,,,,,,48.70259504800197,None,48.90258997498313,None,49.10257401299896,None,49.30173150199698,None,space,0.5701225870288908,49.30173150199698,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,17,0,17,0,,,,,,,,,49.90245267597493,None,50.10249448096147,None,50.3024842540035,None,50.50240276096156,None,space,0.17139140202198178,50.50240276096156,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,18,0,18,0,,,,,,,,,50.702361046976876,None,50.90258100896608,None,51.102358422009274,None,51.302447961992584,None,space,0.45167470700107515,51.302447961992584,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,19,0,19,0,,,,,,,,,51.76917861599941,None,51.96931267000036,None,52.16918927500956,None,52.3691389169544,None,space,0.22805446095298976,52.3691389169544,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,20,0,20,0,,,,,,,,,52.61864661495201,None,52.81833356700372,None,53.01876269298373,None,53.219107212964445,None,space,0.8062196930404752,53.219107212964445,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,21,0,21,0,,,,,,,,,54.05213930696482,None,54.25235557695851,None,54.452369470964186,None,54.65233393100789,None,space,1.845482037984766,54.65233393100789,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,22,0,22,0,,,,,,,,,56.519380476966035,None,56.71909696300281,None,56.91933127300581,None,57.11934314499376,None,space,0.41777450701920316,57.11934314499376,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
conf_haus,Press S for same or D for different houses. Press <SPACE> to continue.,0,1,1,1,23,0,23,0,,,,,,,,,57.55267331597861,None,57.75257792096818,None,57.952616342983674,None,58.15235957695404,None,space,0.38818850996904075,58.15235957695404,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
feat_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,2,2,2,0,0,0,0,,,,,,,,,58.569144496985245,None,58.76936013496015,None,58.96911435597576,None,59.16935401898809,None,space,0.29458230698946863,59.16935401898809,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
feat_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,2,2,2,1,0,1,0,,,,,,,,,59.485668162989896,None,59.68579881399637,None,59.88586299598683,None,60.08602842700202,None,space,0.05983570701209828,60.08602842700202,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
feat_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,2,2,2,2,0,2,0,,,,,,,,,60.1691396899987,None,60.36937637295341,None,60.569342607981525,None,60.76932520698756,None,space,0.7658684279886074,60.76932520698756,None,SR,1,2020_Oct_24_1808,configural_featural,2020.2.4,None,
