Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,ITI_fix_cross.started,ITI_fix_cross.stopped,fix_resp.keys,fix_resp.started,fix_resp.stopped,fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0,Stimuli/eomu.png,Stimuli/eomu.png,,,,,,,space,1,f,1,0.6619210329372436,1.1879599308595061,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/f15.png,Stimuli/f24.png,,,,,,,None,1,j,1,0.5803471659310162,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H7sim0.png,Stimuli/H7sim0.png,f,1,0.877222933806479,None,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1,Stimuli/H5sim0.png,Stimuli/H6sim0.png,j,1,0.6800442771054804,space,1,1.2174230839591473,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,f,1,0.7688483709935099,None,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H8sim0.png,Stimuli/H5sim0.png,j,1,0.5899318580050021,None,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,,,,None,1,j,0,0.46458438294939697,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,1,Stimuli/H7sim0.png,Stimuli/H-8sim0.png,,,,,,,space,1,j,1,0.4986712150275707,1.2898704779800028,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,,,,,,,None,1,f,1,0.46634114696644247,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H8sim0.png,Stimuli/H-8sim3.png,,,,,,,None,1,j,1,0.5879673939198256,,,,,,,,,,,,,,,,,,1,2,2020_Nov_27_2117,configural_featural,2020.2.4,None,[3584 2240],
