Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.rt,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,ITI_fix_cross.started,ITI_fix_cross.stopped,fix_resp.keys,fix_resp.started,fix_resp.stopped,fix_resp.rt,key_resp_6.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
,,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,0,0.17296,0,Stimuli/H6sim0.png,Stimuli/H6sim0.png,,,,,,,None,1,j,0,0.859770670067519,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1,Stimuli/H-8sim2.png,Stimuli/H6sim0.png,,,,,,,None,1,j,1,0.9172875690273941,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/f24.png,Stimuli/f24.png,f,1,1.091249921824783,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1,Stimuli/eumu.png,Stimuli/edmd.png,j,1,1.2309118818957359,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/edmd.png,Stimuli/edmd.png,f,1,0.7158339398447424,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1,Stimuli/eumu.png,Stimuli/f24.png,j,1,1.011267654132098,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0.17296,0,Stimuli/eumu.png,Stimuli/eumu.png,,,,,,,None,1,j,0,0.772178198909387,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,-0.17296,1,Stimuli/eimd.png,Stimuli/f142.png,,,,,,,space,1,j,1,1.0174726471304893,1.2440421029459685,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,1,0.17296,0,Stimuli/f15.png,Stimuli/f15.png,,,,,,,space,1,f,1,0.9181945270393044,1.227962828008458,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
,,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1,Stimuli/f24.png,Stimuli/edmd.png,,,,,,,None,1,j,1,0.8448343160562217,,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2143,configural_featural,2020.2.4,None,[3584 2240],
