repPracLoop.thisRepN,repPracLoop.thisTrialN,repPracLoop.thisN,repPracLoop.thisIndex,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,prac_resp.rt,prac_fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
2,0,2,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,1,0.17380935298900002,1,Stimuli/eomu.png,Stimuli/f24.png,f,0,space,1,,,,,,,1.448621275369078,2.407667860854417,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
2,0,2,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/f142.png,Stimuli/f142.png,j,0,None,1,,,,,,,1.011994571890682,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
2,0,2,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/eimd.png,Stimuli/f131.png,f,0,None,1,,,,,,,1.3032890581525862,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
2,0,2,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/eumu.png,Stimuli/eumu.png,,,,,None,1,f,1,0.7892417921684682,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
2,0,2,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,1,0.17380935298900002,1,Stimuli/f15.png,Stimuli/f142.png,,,,,space,1,f,0,0.7508876747451723,1.4952834756113589,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
2,0,2,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/eimd.png,Stimuli/eimd.png,,,,,None,1,f,1,0.6717779957689345,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
2,0,2,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/eumu.png,Stimuli/f142.png,,,,,None,1,j,1,0.6320276209153235,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
2,0,2,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,j,0,None,1,,,,,,,0.6292879837565124,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
2,0,2,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H5sim0.png,Stimuli/H8sim0.png,f,0,None,1,,,,,,,0.7590936068445444,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
2,0,2,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,1,-0.17380935298900002,0,Stimuli/H5sim0.png,Stimuli/H5sim0.png,f,1,space,1,,,,,,,0.6908469889312983,1.495353028178215,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
2,0,2,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H5sim0.png,Stimuli/H-8sim2.png,f,0,None,1,,,,,,,0.7958208089694381,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
2,0,2,0,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,,,,,None,1,f,1,0.4443012713454664,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
2,0,2,0,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H-8sim0.png,Stimuli/H6sim0.png,,,,,None,1,f,0,0.9172702040523291,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
2,0,2,0,1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,1,0.17380935298900002,0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,,,,,space,1,f,1,2.887816820759326,1.681637101341039,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
2,0,2,0,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H7sim0.png,Stimuli/H6sim0.png,,,,,None,1,f,0,1.3286565481685102,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
3,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/edmd.png,Stimuli/edmd.png,None,0,space,0,,,,,,,,2.438907892908901,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
3,0,3,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/edmd.png,Stimuli/eumu.png,j,1,None,1,,,,,,,2.1410895129665732,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
3,0,3,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,1,0.17380935298900002,0,Stimuli/f24.png,Stimuli/f24.png,f,1,None,0,,,,,,,1.8305269088596106,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
3,0,3,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/eomu.png,Stimuli/f24.png,j,1,None,1,,,,,,,0.87284150486812,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
3,0,3,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/eomu.png,Stimuli/eomu.png,,,,,None,1,j,0,1.454977272078395,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
3,0,3,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,1,0.17380935298900002,1,Stimuli/eimd.png,Stimuli/f131.png,,,,,space,1,f,0,0.9470044202171266,1.3307872829027474,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
3,0,3,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/eumu.png,Stimuli/eumu.png,,,,,None,1,j,0,0.9795615989714861,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
3,0,3,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/eomu.png,Stimuli/f131.png,,,,,None,1,f,0,0.7117255879566073,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
3,0,3,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,f,1,None,1,,,,,,,0.7973381727933884,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
3,0,3,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H-8sim0.png,Stimuli/H7sim0.png,None,0,None,1,,,,,,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
3,0,3,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,1,0.17380935298900002,0,Stimuli/H8sim0.png,Stimuli/H8sim0.png,j,0,None,0,,,,,,,2.828352365642786,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
3,0,3,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,0,-0.17380935298900002,1,Stimuli/H7sim0.png,Stimuli/H6sim0.png,f,0,None,1,,,,,,,1.1411762037314475,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
3,0,3,0,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H7sim0.png,Stimuli/H7sim0.png,,,,,None,1,f,1,0.4763988987542689,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
3,0,3,0,1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,1,-0.17380935298900002,1,Stimuli/H6sim0.png,Stimuli/H-8sim1.png,,,,,space,1,j,1,1.1086336709558964,2.1036711698397994,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
3,0,3,0,1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,0,0.17380935298900002,0,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,,,,,None,1,f,1,0.5259335162118077,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
3,0,3,0,1,0,1,0,,,,,3,0,3,0,,,,,,,,,,,,,,0,0.17380935298900002,1,Stimuli/H5sim0.png,Stimuli/H8sim0.png,,,,,None,1,j,1,1.0402163239195943,,,,,1,2,2020_Dec_21_1739,configural_featural,2020.2.4,None,[3584 2240],
