Block_type,instruction_text,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,fix_switches,side1L0R,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,key_resp_4.rt,participant,design,position,date,expName,psychopyVersion,frameRate,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,17,0,17,0,,,0,0,0.0,Stimuli/eomu.png,Stimuli/eumu.png,None,None,None,s,0,0.6238385599572212,None,32.73950800095918,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,18,0,18,0,,,0,0,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,s,1,0.27396286104340106,None,34.08965232997434,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,19,0,19,0,,,0,1,0.0,Stimuli/edmd.png,Stimuli/eumu.png,None,None,None,s,0,0.16168130398727953,None,35.08694857900264,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,20,0,20,0,,,0,0,0.0,Stimuli/eumu.png,Stimuli/eomu.png,None,None,None,s,0,0.13155409099999815,None,35.98726640996756,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,21,0,21,0,,,0,1,0.0,Stimuli/eimd.png,Stimuli/eomu.png,None,None,None,s,0,0.08223423501476645,None,36.85389242199017,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,22,0,22,0,,,0,1,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,s,1,0.24241729697678238,None,37.65394821099471,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,23,0,23,0,,,0,1,1.0,Stimuli/eomu.png,Stimuli/eomu.png,None,None,None,s,1,0.5706230829819106,None,38.637293395993765,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,24,0,24,0,,,0,0,0.0,Stimuli/eumu.png,Stimuli/edmd.png,None,None,None,s,0,0.20297926099738106,None,39.95407166297082,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,25,0,25,0,,,0,0,0.0,Stimuli/edmd.png,Stimuli/eumu.png,None,None,None,s,0,0.15577870700508356,None,40.88714808400255,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,26,0,26,0,,,1,0,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,s,1,0.09019791701575741,None,41.77061290299753,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,27,0,27,0,,,0,1,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,s,1,0.5139907260308973,None,42.589646319975145,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,28,0,28,0,,,0,0,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,s,1,0.3787260770332068,None,43.82079527096357,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,29,0,29,0,,,0,0,0.0,Stimuli/edmd.png,Stimuli/eomu.png,None,None,None,s,0,0.1489629659918137,None,44.937465849972796,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,30,0,30,0,,,0,0,1.0,Stimuli/eomu.png,Stimuli/eomu.png,None,None,None,s,1,0.23960983398137614,None,45.803810584009625,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,31,0,31,0,,,0,0,0.0,Stimuli/eomu.png,Stimuli/edmd.png,None,None,None,s,0,0.4862349810427986,None,46.773078302969225,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,32,0,32,0,,,0,1,0.0,Stimuli/eomu.png,Stimuli/eimd.png,None,None,None,s,0,0.23147827701177448,None,47.98738782200962,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,33,0,33,0,,,1,1,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,d,0,0.16547198896296322,None,48.93995878996793,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,34,0,34,0,,,0,0,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,d,0,0.09226802201010287,None,49.83724930998869,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,35,0,35,0,,,0,1,0.0,Stimuli/eomu.png,Stimuli/edmd.png,None,None,None,d,1,0.2597351529984735,None,50.654090204974636,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,36,0,36,0,,,0,1,0.0,Stimuli/eumu.png,Stimuli/eomu.png,None,None,None,d,1,0.15404741000384092,None,51.63728283898672,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,37,0,37,0,,,0,1,1.0,Stimuli/eomu.png,Stimuli/eomu.png,None,None,None,d,0,0.17296339297899976,None,52.52076581696747,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,38,0,38,0,,,0,0,0.0,Stimuli/eimd.png,Stimuli/edmd.png,None,None,None,d,1,0.18758334300946444,None,53.43968303600559,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,39,0,39,0,,,0,1,0.0,Stimuli/eumu.png,Stimuli/eimd.png,None,None,None,d,1,0.13694560300791636,None,54.356575515004806,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,40,0,40,0,,,0,1,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,d,0,0.1557538330089301,None,55.223232185002416,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,41,0,41,0,,,0,0,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,d,0,0.19465289899380878,None,56.104057279997505,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,42,0,42,0,,,0,1,0.0,Stimuli/edmd.png,Stimuli/eomu.png,None,None,None,d,1,0.04950974998064339,None,57.02321250300156,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,43,0,43,0,,,0,0,1.0,Stimuli/eomu.png,Stimuli/eomu.png,None,None,None,d,0,0.3948258059681393,None,57.820057405973785,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,44,0,44,0,,,1,0,0.0,Stimuli/eimd.png,Stimuli/eumu.png,None,None,None,d,1,0.16522218298632652,None,58.93739292398095,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
conf_face,Press S for same or D for different faces. Press <SPACE> to continue.,0,0,0,0,45,0,45,0,,,0,1,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,d,0,0.08496562205255032,None,59.8207936079707,None,,code,1,2,2020_Oct_25_1657,configural_featural,2020.2.4,None,
