X Scale,Y Scale,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text,key_resp_6.rt
,,0,-0.17295,0,Stimuli/edmd.png,Stimuli/eimd.png,,,,f,1,1.056,,44,0,44,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,f,0,1.721,,45,0,45,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,j,1,0.852,,46,0,46,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,0,Stimuli/eumu.png,Stimuli/eomu.png,,,,f,1,1.189,,47,0,47,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,,,,,,,,,,,,,,,,,,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,0,0,0,0,1,conf_face,Designs/instructions_face_1234.png,
,,0,-0.17295,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,,,,j,1,2.045,,0,0,0,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,0,Stimuli/H-8sim0.png,Stimuli/H-8sim1.png,,,,j,0,1.12,,1,0,1,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,0,Stimuli/H-8sim3.png,Stimuli/H-8sim2.png,,,,j,0,0.799,,2,0,2,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,-0.17295,0,Stimuli/H-8sim0.png,Stimuli/H-8sim2.png,,,,j,0,1.194,,3,0,3,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,,,,j,1,1.826,,4,0,4,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,f,0,1.259,,5,0,5,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,0,0.17295,1,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,,,,f,0,1.05,,6,0,6,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
,,1,0.17295,0,Stimuli/H-8sim2.png,Stimuli/H-8sim3.png,,,,j,0,3.257,space,7,0,7,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,1.219
,,0,0.17295,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,,,,j,1,2.378,,8,0,8,0,1,mb,1,2,2020-10-27_19h53.55.535,configural_featural,2020.2.4,MacIntel,60,1440,900,,,,,,,,
