pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,X Scale,Y Scale,text_13.started,text_13.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,image_10.started,image_10.stopped,image_11.started,image_11.stopped,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,prePrac2_imgResp.started,prePrac2_imgResp.stopped,text_12.started,text_12.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,transition.started,transition.stopped,image_4.started,image_4.stopped,text_10.started,text_10.stopped,image_5.started,image_5.stopped,text_11.started,text_11.stopped,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_fix_resp_fast.started,prac_fix_resp_fast.stopped,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_resp2.started,prac_resp2.stopped,prac_fix_resp_fast.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17296,0,Stimuli/eomu.png,Stimuli/eomu.png,,,,,,,,,,,,,,,,,,156.65436870185658,None,156.65436870185658,None,,,,151.9541412719991,152.1549306109082,151.9541412719991,None,152.47337501100264,152.68824876495637,152.47337501100264,None,space,1,152.65489940578118,None,f,1,1.0967210249509662,152.65489940578118,None,1.4000597759149969,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17296,1,Stimuli/eomu.png,Stimuli/edmd.png,,,,,,,,,,,,,,,,,,163.3547137528658,None,163.3547137528658,None,,,,158.65446394286118,158.85653093783185,158.65446394286118,None,159.17310448084027,159.37144996691495,159.17310448084027,None,None,1,159.35704565281048,None,j,1,0.8087167588528246,159.35704565281048,None,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.37305083381943,None,0,-0.17296,1,Stimuli/H-8sim1.png,Stimuli/H-8sim2.png,168.85415970883332,169.3564129897859,168.85415970883332,None,169.65467806579545,170.15582638094202,169.65467806579545,None,f,0,1.2431074928026646,169.8401276487857,173.83819048083387,None,1,169.8401276487857,173.83819048083387,173.85459635592997,None,173.85459635592997,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17296,0,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,175.85505327000283,176.3570232829079,175.85505327000283,None,176.6546060158871,177.1550098368898,176.6546060158871,None,f,1,0.9421060108579695,176.83855671877973,180.8381397780031,space,1,176.83855671877973,180.8381397780031,180.85474139195867,None,180.85474139195867,None,1.252150109037757,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17296,1,Stimuli/H5sim0.png,Stimuli/H8sim0.png,182.85477082594298,183.356804843992,182.85477082594298,None,183.6543501059059,184.15479646087624,183.6543501059059,None,j,1,0.7712254549842328,183.83827201579697,187.83808400086127,None,0,183.83827201579697,187.83808400086127,187.85486417193897,None,187.85486417193897,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1,Stimuli/H-8sim0.png,Stimuli/H-8sim2.png,189.8549841409549,190.35750427795574,189.8549841409549,None,190.65542627987452,191.1552683468908,190.65542627987452,None,j,1,1.0237710631918162,190.8386480140034,194.83831083378755,None,1,190.8386480140034,194.83831083378755,194.85503598791547,None,194.85503598791547,None,,,,,,,,,,,,,,,,,,,,,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/H-8sim1.png,Stimuli/H-8sim1.png,,,,,,,,,,,,,,,,,,204.55494102579542,None,204.55494102579542,None,,196.85510826297104,None,199.85511118080467,200.05486386781558,199.85511118080467,None,200.3552512289025,200.55503597296774,200.3552512289025,None,None,1,200.53947422793135,204.5382623099722,f,1,0.46758146584033966,200.53947422793135,204.5382623099722,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.17296,1,Stimuli/H8sim0.png,Stimuli/H6sim0.png,,,,,,,,,,,,,,,,,,211.25484327878803,None,211.25484327878803,None,,,,206.55535726295784,206.7553257609252,206.55535726295784,None,207.05543531198055,207.25510065280832,207.05543531198055,None,space,1,207.2405652119778,211.23829858982936,j,1,0.6956269720103592,207.2405652119778,211.23829858982936,1.3959183199331164,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
1,0,1,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,,,,,,,,,,,,,,,,,,217.9543848268222,None,217.9543848268222,None,,,,213.25521567300893,213.45693100290373,213.25521567300893,None,213.75509708281606,213.95511550898664,213.75509708281606,None,None,1,213.9409138748888,217.9382947459817,f,1,0.5306974141858518,213.9409138748888,217.9382947459817,,,1,2,2020_Nov_19_2113,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0,Stimuli/H6sim0.png,Stimuli/H6sim0.png,,,,,,,,,,,,,,,,,,,,,,,,,219.95495590381324,220.15494040981866,219.95495590381324,None,,,,,,,,,,,,,,,,,,,,,,,
