Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_fixResp.rt,prePrac2_imgResp.keys,prePrac2_imgResp.corr,prePrac2_imgResp.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,prac_resp2.rt,prac_fix_resp_fast.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp.keys,key_resp.corr,key_resp.rt,ITI_fix_cross.started,ITI_fix_cross.stopped,fix_resp.keys,fix_resp.started,fix_resp.stopped,fix_resp.rt,participant,design,position,date,expName,psychopyVersion,frameRate,winSize,
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0.0,Stimuli/eumu.png,Stimuli/eimd.png,f,0,0.2623061949852854,210.8761974577792,None,None,210.8761974577792,None,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1.0,Stimuli/edmd.png,Stimuli/edmd.png,f,1,0.19381432188674808,213.45957083487883,None,None,213.45957083487883,None,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1.0,Stimuli/eomu.png,Stimuli/eomu.png,f,1,0.24610137520357966,215.84286459186114,None,None,215.84286459186114,None,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17296,0.0,Stimuli/eomu.png,Stimuli/edmd.png,f,0,0.1044461871497333,218.4262918238528,None,space,218.4262918238528,None,0.6698968519922346,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1.0,Stimuli/eumu.png,Stimuli/eumu.png,f,1,0.3490788990166038,221.10936373495497,None,None,221.10936373495497,None,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,1.0,Stimuli/eimd.png,Stimuli/eimd.png,f,1,0.27701168810017407,223.65971297584474,None,None,223.65971297584474,None,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0.0,Stimuli/eimd.png,Stimuli/edmd.png,j,1,0.31241709110327065,226.15951511682943,None,None,226.15951511682943,None,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0.0,Stimuli/edmd.png,Stimuli/eomu.png,j,1,0.3251234111376107,228.80957340891473,None,None,228.80957340891473,None,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0.0,Stimuli/edmd.png,Stimuli/eumu.png,j,1,0.5004524709656835,231.62609821278602,None,None,231.62609821278602,None,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
conf_face,Designs/instructions_face_1234.png,,,,,,,,,,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17296,1.0,Stimuli/edmd.png,Stimuli/edmd.png,f,1,0.37569451495073736,234.20939775998704,None,None,234.20939775998704,None,,,1,1,2020_Nov_19_2211,configural_featural,2020.2.4,None,[3584 2240],
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17296,0.0,Stimuli/eomu.png,Stimuli/eimd.png,,,,,,,,,,,,,,,,,,
