Block_type,instruction_text,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,image_6.started,image_6.stopped,text_8.started,text_8.stopped,image_7.started,image_7.stopped,prac_instr2.started,prac_instr2.stopped,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac1Resp.started,prePrac1Resp.stopped,image_8.started,image_8.stopped,text_9.started,text_9.stopped,image_9.started,image_9.stopped,prac_instr4.started,prac_instr4.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,image.started,image.stopped,text_6.started,text_6.stopped,image_2.started,image_2.stopped,text_7.started,text_7.stopped,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_resp.started,prac_resp.stopped,prac_fix_resp.keys,prac_fix_resp.corr,prac_fix_resp.started,prac_fix_resp.stopped,image_3.started,image_3.stopped,feedback_msg.started,feedback_msg.stopped,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,participant,design,position,date,expName,psychopyVersion,frameRate,
,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17295000000000002,1,Stimuli/dory2.png,Stimuli/dory1.png,87.1495305619901,87.34934007900301,87.1495305619901,None,87.47424157802016,87.68422501499299,87.47424157802016,None,j,1,1.1472923620603979,87.63265414396301,None,None,0,87.63265414396301,None,91.65143512794748,None,91.65143512794748,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17295000000000002,1,Stimuli/nemo2.png,Stimuli/nemo1.jpg,93.67796169698704,93.88329829694703,93.67796169698704,None,93.94978600600734,94.15196927601937,93.94978600600734,None,j,1,1.0672686240868643,94.1331694140099,None,None,0,94.1331694140099,None,98.13297233299818,None,98.13297233299818,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0,Stimuli/dory2.png,Stimuli/dory2.png,100.15165134891868,100.36662847094703,100.15165134891868,None,100.4516486870125,100.66660367592704,100.4516486870125,None,f,1,0.9816561940824613,100.6331584280124,None,None,1,100.6331584280124,None,104.6330536439782,None,104.6330536439782,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,1,Stimuli/dory1.png,Stimuli/dory2.png,106.67509978299495,106.8832892839564,106.67509978299495,None,106.93253750400618,107.13309873302933,106.93253750400618,None,j,1,0.6698498950572684,107.13309873302933,None,None,1,107.13309873302933,None,111.13284801098052,None,111.13284801098052,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0,Stimuli/nemo1.jpg,Stimuli/nemo1.jpg,113.14979393896647,113.35025150992442,113.14979393896647,None,113.44997538195457,113.65021001000423,113.44997538195457,None,j,0,0.9999610889935866,113.63526538491715,None,None,1,113.63526538491715,None,117.65192709502298,None,117.65192709502298,None,,,,,,,,,,,,,,,,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,f,1,0.8105271580861881,None,128.0001033259323,None,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0.0,Stimuli/eumu.png,Stimuli/eomu.png,None,None,None,j,1,0.9318209700286388,None,129.55018612893764,None,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0.0,Stimuli/eimd.png,Stimuli/eumu.png,None,None,None,j,1,1.6469440929358825,None,131.20009778696112,None,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,None,None,None,f,1,0.4045652759959921,None,133.5669124609558,None,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.17295000000000002,0.0,Stimuli/edmd.png,Stimuli/eumu.png,None,None,None,j,1,0.6643216669326648,None,134.7019980730256,None,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,1.0,Stimuli/edmd.png,Stimuli/edmd.png,None,None,None,j,0,0.3669460309902206,None,136.08549579500686,None,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0.0,Stimuli/edmd.png,Stimuli/eomu.png,None,None,None,j,1,0.39683748595416546,None,137.18607083894312,None,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1.0,Stimuli/eumu.png,Stimuli/eumu.png,None,None,None,f,1,1.1024762958986685,None,138.30022334994283,None,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,0.0,Stimuli/eomu.png,Stimuli/eimd.png,None,None,None,j,1,0.3405698030255735,None,140.133174114977,None,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,j,0,0.4451478699920699,None,141.2002521629911,None,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,0.0,Stimuli/eumu.png,Stimuli/edmd.png,None,None,None,j,1,0.8045112579129636,None,142.3831542939879,None,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
conf_face,Designs/instructions_face_1234.png,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.17295000000000002,1.0,Stimuli/eomu.png,Stimuli/eomu.png,None,None,None,j,0,0.392088633030653,None,143.91707928001415,None,,1,2,2020_Oct_30_1829,configural_featural,2020.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.17295000000000002,1.0,Stimuli/eimd.png,Stimuli/eimd.png,None,None,None,,,,,,,,,,,,,,
